"series","status","SC.taxcl","OSD.taxcl","flag"
"GORING","established","FINE, SMECTITIC, FRIGID PACHIC PALEXEROLLS","FINE, SMECTITIC, FRIGID PACHIC PALEXEROLLSTYPIFYING PEDON: GORING SILT LOAM - NATIVE GRASSES AND SHRUBS (COLORS ARE FOR DRY SOIL UNLESS OTHERWISE NOTED.)ALL--0 TO 3 INCHES; BROWN (10YR 4/3) SILT LOAM, DARK BROWN (10YR 3/3) MOIST; WEAK THICK PLATY STRUCTURE; SOFT, FRIABLE, SLIGHTLY STICKY, SLIGHTLY PLASTIC; MANY FINE ROOTS; SLIGHTLY ACID (PH 6.5); ABRUPT WAVY BOUNDARY. (2 TO 8 INCHES THICK)A12--3 TO 7 INCHES; BROWN (10YR 4/3) SILT LOAM, DARK BROWN (10YR 3/3) MOIST; MODERATE FINE AND MEDIUM GRANULAR STRUCTURE; SLIGHTLY HARD, FRIABLE, SLIGHTLY STICKY. SLIGHTLY PLASTIC; MANY FINE ROOTS; SLIGHTLY ACID (PH 6.4); CLEAR WAVY BOUNDARY. (3 TO 10 INCHES THICK)BL--7 TO 13 INCHES; BROWN (7.5YR 4/3) LIGHT SILTY CLAY LOAM, DARK BROWN (7.5YR 3/3) MOIST; MODERATE MEDIUM AND FINE ANGULAR BLOCKY STRUCTURE; HARD, FIRM, STICKY, PLASTIC; MANY FINE ROOTS; COMMON FINE DISCONTINUOUS INTERSTITIAL PORES; SLIGHTLY ACID (PH 6.3); CLEAR  WAVY BOUNDARY. (3 TO 11 INCHES THICK)B21T--13 TO 22 INCHES; REDDISH BROWN (5YR 4/3) HEAVY SILTY CLAY LOAM, DARK REDDISH BROWN (5YR 3/4)  MOIST; MODERATE COARSE PRISMATIC STRUCTURE THAT PARTS TO FINE AND MEDIUM ANGULAR BLOCKY STRUCTURE; VERY HARD, FIRM, STICKY, PLASTIC; COMMON FINE ROOTS; COMMON FINE DISCONTINUOUS INTERSTITIAL PORES; MODERATELY THICK CONTINUOUS CLAY FILMS; SLIGHTLY ACID (PH 6.3); DIFFUSE WAVY BOUNDARY. (5 TO 15 INCHES THICK)B22T--22 TO 35 INCHES; REDDISH BROWN (5YR 4/4) SILTY CLAY, YELLOWISH RED (5YR 4/6) MOIST; STRONG COARSE SUBANGULAR BLOCKY STRUCTURE THAT PARTS TO MEDIUM AND FINE ANGULAR BLOCKY STRUCTURE; EXTREMELY HARD, EXTREMELY FIRM, VERY STICKY, VERY PLASTIC; FEW FINE ROOTS; COMMON FINE DISCONTINUOUS INTERSTITIAL PORES; MODERATELY THICK CONTINUOUS CLAY FILMS; SLIGHTLY ACID (PH 6.1); DIFFUSE WAVY BOUNDARY. (8 TO 19 INCHES THICK)B23T--35 TO 55 INCHES; RED (2.5YR 4/6) SILTY CLAY LOAM, DARK RED (2.5YR 3/6) MOIST; MODERATE COARSE SUBANGULAR BLOCKY STRUCTURE THAT PARTS TO FINE AND MEDIUM SUBANGULAR BLOCKY; EXTREMELY HARD, VERY FIRM, STICKY, PLASTIC; FEW FINE ROOTS; COMMON FINE DISCONTINUOUS PORES; MODERATELY THICK CONTINUOUS CLAY FILMS; SLIGHTLY ACID (PH 6.3).",TRUE
"GREEN CANYON","established","LOAMY-SKELETAL, CARBONATIC, MESIC TYPIC HAPLOXEROLLS","LOAMY-SKELETAL, CARBONATIC, MESIC TYPICHAPLOXEROLLS",TRUE
"GREENWICH","established","COARSE-LOAMY, MIXED, SEMIACTIVE, MESIC TYPIC HAPLUDULTS","COARSE-LOAMY, MIXED, SEMIACTIVE, MESIC TYPIC HAPLUDULTSDEPTH CLASS: VERY DEEPDRAINAGE CLASS (AGRICULTURAL): WELL DRAINEDSATURATED HYDRAULIC CONDUCTIVITY: MODERATELY HIGH IN THE UPPER SUBSOIL AND HIGH OR VERY HIGH IN THE LOWER SUBSOIL AND SUBSTRATUMLANDSCAPE: COASTAL PLAINPARENT MATERIAL: LOAMY EOLIAN AND ALLUVIAL DEPOSITS HIGH IN SILT UNDERLAIN BY LOAMY AND SANDY ALLUVIAL SEDIMENTSSLOPE: 0 TO 5 PERCENTMEAN ANNUAL AIR TEMPERATURE (TYPE LOCATION): 13 DEGREES C. (55 DEGREES F.)MEAN ANNUAL PRECIPITATION (TYPE LOCATION): 1118 MM (44 INCHES)TAXONOMIC CLASS: COARSE-LOAMY, MIXED, SEMIACTIVE, MESIC TYPIC HAPLUDULTS",TRUE
"GRENOBLE","established","SANDY-SKELETAL, MIXED, FRIGID AQUIC TORRIORTHENTS","SANDY-SKELETAL, MIXED, FRIGID AQUICTORRIORTHENTS",TRUE
"GRIMM","established","SANDY-SKELETAL, MIXED, FRIGID USTIC TORRIORTHENTS","SANDY-SKELETAL, MIXED, FRIGID USTICTORRIORTHENTS",TRUE
"GUALALA","established","LOAMY, MIXED, ACTIVE, ISOMESIC LITHIC DYSTRUSTEPTS","LOAMY, MIXED, ACTIVE, ISOMESIC LITHIC DYSTRUSTEPTSSOIL PROFILE (GUALALA LOAM):1--0 TO 5 INCHES; BROWN, FRIABLE, STRONGLY ACID LOAM OF WEAK GRANULAR STRUCTURE.  DARK BROWN WHEN MOIST.  CONTAINS SMALL FRAGMENTS OF SHALE.  SOME ROOTS PRESENT.  GRADUAL CHANGE TO:  3-10 INCHES.2--5 TO 1 INCHES; SHATTERED PARTIALLY DECOMPOSED PALE-BROWN SHALE ROCK CONTAINING A LITTLE SOIL MATERIAL IN CRACKS.  SEVERAL FEET.",TRUE
"GUAM","established","CLAYEY, GIBBSITIC, NONACID, ISOHYPERTHERMIC LITHIC USTORTHENTS","CLAYEY, GIBBSITIC, NONACID, ISOHYPERTHERMICLITHIC USTORTHENTS",TRUE
"HARKERS","established","FINE, SMECTITIC, FRIGID TYPIC PALEXEROLLS","FINE, SMECTITIC, FRIGID TYPIC PALEXEROLLSTYPIFYING PEDON: HARKERS LOAM - NATIVE RANGELAND(COLORS ARE FOR DRY SOIL UNLESS OTHERWISE NOTED.)AL--0 TO 14 INCHES; VERY DARK GRAYISH BROWN (10YR 3/2) LOAM, VERY DARK BROWN (10YR 2/2) MOIST; MODERATE            MEDIUM GRANULAR STRUCTURE THAT PARTS TO FINE GRANULAR STRUCTURE; SLIGHTLY HARD, FRIABLE, STICKY, PLASTIC; COMMON COARSE MEDIUM, FINE AND VERY FINE ROOTS; COMMON VERY FINE            AND FEW FINE PORES; 15 PERCENT GRAVEL; NEUTRAL (PH 7.0); CLEAR SMOOTH BOUNDARY. (10 TO 17 INCHES THICK)BL--14 TO 19 INCHES; GRAYISH BROWN (10YR 5/2) GRAVELLY CLAY LOAM, VERY DARK GRAYISH BROWN (10YR 3/2) MOIST; WEAK MEDIUM SUBANGULAR BLOCKY STRUCTURE; HARD, FIRM, STICKY, PLASTIC; COMMON COARSE, MEDIUM, FINE AND VERY FINE ROOTS; FEW VERY FINE PORES; 25 PERCENT GRAVEL; NEUTRAL (PH 7.0); CLEAR SMOOTH BOUNDARY. (O TO 8 INCHES THICK)B21T--19 TO 42 INCHES; BROWN (7.5YR 5/4) GRAVELLY CLAY, DARK REDDISH BROWN (5YR 3/4) MOIST PED; BROWN  (7.5YR 4/3) MOIST; STRONG MEDIUM PRISMATIC STRUCTURE THAT PARTS TO STRONG MEDIUM BLOCKY STRUCTURE; VERY HARD, EXTREMELY FIRM, VERY STICKY, VERY PLASTIC; FEW COARSE MEDIUM FINE AND VERY FINE ROOTS; FEW VERY FINE PORES; CLAY FILMS ARE MODERATELY THICK CONTINUOUS ON FACES OF PEDS; 30 PERCENT GRAVEL; NEUTRAL (PH 7.Z); GRADUAL WAVY BOUNDARY. (15 TO 24 INCHES THICK)B22T--42 TO 58; BROWN (7.5YR 5/4) VERY GRAVELLY CLAY, DARK REDDISH BROWN (5YR 3/4) MOIST PED, BROWN (7.5YR 4/3) CRUSHED MOIST; STRONG MEDIUM PRISMATIC STRUCTURE THAT PARTS TO STRONG MEDIUM BLOCKY STRUCTURE; VERY HARD, EXTREMELY FIRM, VERY STICKY, VERY PLASTIC; FEW FINE AND VERY FINE ROOTS; FEW VERY FINE PORES; CLAY FILMS ARE MODERATELY THICK CONTINUOUS ON FACES OF PEDS; 55 PERCENT GRAVEL; NEUTRAL (PH 7.0); CLEAR SMOOTH BOUNDARY. (12 TO 24 INCHES THICK)CLCA--58 TO 80 INCHES; LIGHT YELLOWISH BROWN (10YR 6/4) VERY GRAVELLY CLAY LOAM, BROWN (7.5YR 5/4) MOIST; MASSIVE; HARD, VERY FIRM, VERY STICKY, FEW FINE AND VERY FINE ROOTS; FEW FINE PORES; 60 PERCENT GRAVEL; SLIGHTLY CALCAREOUS; NEUTRAL (PH 7.0).TYPE LOCATION: SALT LAKE COUNTY, UTAH; ABOUT 4.5 MILES WEST OF BINGHAM-MAGNA HIGHWAY ALONG KCPX T. V. TOWER ROAD AND 500 FEET WEST UP THE SLOPE FROM THIS ROAD; NEAR THE CENTER OF SEC. 36, T.2S., R.3W.",TRUE
"HARSTON","established","COARSE-LOAMY, MIXED, SUPERACTIVE, CALCAREOUS, FRIGID XERIC TORRIFLUVENTS","COARSE-LOAMY, MIXED, SUPERACTIVE, CALCAREOUS, FRIGID XERIC TORRIFLUVENTSTORRIFLUVENTS.",TRUE
"HATU","established","FINE, MIXED, SUPERACTIVE, CALCAREOUS, MESIC AQUIC TORRIFLUVENTS","FINE, MIXED, SUPERACTIVE, CALCAREOUS, MESIC AQUIC TORRIFLUVENTSAPZ--0 TO 10 INCHES; BROWN (10YR 5/3) SILTY CLAY, DARK BROWN (7.5YR 3/4) MOIST; MODERATE COARSE PLATY STRUCTURE; VERY HARD, VERY FIRM, VERY STICKY AND VERY PLASTIC; COMMON FINE AND VERY FINE ROOTS; FEW MEDIUM, COMMON FINE AND VERY FINE PORES; MODERATELY SALINE (8.5 MMHOS/CM), MANY FLECKS, CRYSTALS AND FILAMENTS OF SALT; STRONGLY EFFERVESCENT, CARBONATES ARE DISSEMINATED; MODERATELY ALKALINE (PH 8.4); CLEAR SMOOTH BOUNDARY. (6 TO 10 INCHES THICK)CZ1--10 TO 21 INCHES; BROWN (7.5YR 5/4) SILTY CLAY, BROWN (7.5YR 4/4) MOIST; MODERATE MEDIUM SUBANGULAR BLOCKY STRUCTURE; VERY HARD, VERY FIRM, VERY STICKY AND VERY PLASTIC; FEW FINE AND VERY FINE ROOTS; COMMON FINE AND VERY FINE PORES; MODERATELY SALINE (11.5 MMHOS/CM), MANY FLECKS, CRYSTALS AND FILAMENTS OF SALT; STRONGLY EFFERVESCENT, CARBONATES ARE DISSEMINATED; MODERATELY ALKALINE (PH 8.4); CLEAR WAVY BOUNDARY. (9 TO 23 INCHES THICK)CZ2--21 TO 36 INCHES; LIGHT REDDISH BROWN (5YR 6/4) CLAY, YELLOWISH RED (5YR 4/6) MOIST; FEW MEDIUM DISTINCT DARK BROWN (7.5YR 4/2) MOTTLES; MASSIVE; VERY HARD, VERY FIRM, VERY STICKY AND VERY PLASTIC; FEW FINE AND VERY FINE ROOTS; COMMON FINE AND VERY FINE PORES; STRONGLY SALINE (25.5 MMHOS/CM), MANY FLECKS, CRYSTALS AND FILAMENTS OF SALT; STRONGLY EFFERVESCENT, CARBONATES ARE DISSEMINATED; MODERATELY ALKALINE (PH 8.4); CLEAR WAVY BOUNDARY. (4 TO 21 INCHES THICK)CZ3--36 TO 42 INCHES; LIGHT REDDISH BROWN (5YR 6/4) SANDY CLAY LOAM, YELLOWISH RED (5YR 4/6) MOIST; FEW MEDIUM DISTINCT BROWN (7.5YR 5/4) MOTTLES; MASSIVE; SOFT, FRIABLE, SLIGHTLY STICKY AND PLASTIC; FEW FINE ROOTS; FEW MEDIUM, COMMON FINE AND VERY FINE PORES; STRONGLY SALINE (38.5 MMHOS/CM), COMMON FLECKS OF SALT; STRONGLY EFFERVESCENT, CARBONATES ARE DISSEMINATED; STRONGLY ALKALINE (PH 8.8); CLEAR SMOOTH BOUNDARY. (5 TO 25 INCHES THICK)2CZ--42 TO 60 INCHES; STRONG BROWN (7.5YR 5/6) LOAMY FINE SAND, STRONG BROWN (7.5YR 4/6) MOIST; FEW MEDIUM DISTINCT PINKISH GRAY (7.5YR 6/2) MOTTLES ALONG ROOT CHANNELS; MASSIVE; SOFT, VERY FRIABLE, NONSTICKY AND NONPLASTIC; FEW FINE ROOTS; FEW MEDIUM, COMMON FINE AND VERY FINE PORES; STRONGLY SALINE (20.5 MMHOS/CM), FEW FLECKS OF SALT; STRONGLY EFFERVESCENT, CARBONATES ARE DISSEMINATED; STRONGLY ALKALINE (PH 8.6).",TRUE
"HEIZER","established","LOAMY-SKELETAL, CARBONATIC, MESIC LITHIC HAPLUSTOLLS","LOAMY-SKELETAL, CARBONATIC, MESIC LITHICHAPLUSTOLLS",TRUE
"HILLCO","established","FINE-LOAMY, CARBONATIC, THERMIC ENTIC HAPLUSTOLLS","FINE-LOAMY, CARBONATIC, THERMIC ENTICHAPLUSTOLLS",TRUE
"HOUK","established","FINE, SMECTITIC, FRIGID ARGIAQUIC XERIC ARGIALBOLLS","FINE, SMECTITIC, FRIGID ARGIAQUIC XERIC ARGIALBOLLSARGIALBOLLS.",TRUE
"JENNESS","established","COARSE-LOAMY, MIXED, SUPERACTIVE, NONACID, MESIC XERIC TORRIORTHENTS","COARSE-LOAMY, MIXED, SUPERACTIVE, NONACID, MESIC XERIC TORRIORTHENTSTORRIORTHENTS.",TRUE
"KAPAA","established","VERY-FINE, SESQUIC, ISOHYPERTHERMIC ANIONIC ACRUDOX","VERY-FINE, SESQUIC, ISOHYPERTHERMIC ANIONICACRUDOX",TRUE
"KLINE","established","SANDY-SKELETAL, MIXED, MESIC VITRANDIC XEROFLUVENTS","SANDY-SKELETAL, MIXED, MESIC VITRANDICXEROFLUVENTS",TRUE
"KUNATON","established","CLAYEY, SMECTITIC, MESIC, SHALLOW ABRUPTIC XERIC ARGIDURIDS","CLAYEY, SMECTITIC, MESIC, SHALLOW ABRUPTIC XERIC ARGIDURIDSXEROLLIC DURARGIDS.",TRUE
"LEIPSIC","tentative","FINE-SILTY, MIXED, SEMIACTIVE, MESIC AQUIC HAPLUDULTS","FINE-SILTY, MIXED, SEMIACTIVE, MESIC AQUIC HAPLUDULTSDEPTH CLASS: VERY DEEPAGRICULTURAL DRAINAGE CLASS: MODERATELY WELL DRAINEDINDEX SURFACE RUNOFF: LOW OR MEDIUMINTERNAL FREE WATER OCCURANCE: MODERATELY DEEP; COMMONPERMEABILITY: MODERATE OR MODERATELY SLOWPARENT MATERIAL: SILTY EOLIAN DEPOSITS UNDERLAIN BY STRATIFIED ALLUVIAL SEDIMENTSSLOPE: 0 TO 10 PERCENTMEAN ANNUAL AIR TEMPERATURE (TYPE LOCATION): 55 DEGREES F.MEAN ANNUAL PRECIPITATION (TYPE LOCATION): 44 INCHESTAXONOMIC CLASS: FINE-SILTY, MIXED, SEMIACTIVE, MESIC AQUIC HAPLUDULTS",TRUE
"LONGBELL","established","MEDIAL OVER SANDY OR SANDY-SKELETAL, MIXED, MESIC HUMIC VITRIXERANDS","MEDIAL OVER SANDY OR SANDY-SKELETAL, MIXED,MESIC HUMIC VITRIXERANDS",TRUE
"LOS GUINEOS","established","VERY-FINE, KAOLINITIC, ISOTHERMIC HUMIC HAPLUDOX","VERY-FINE, KAOLINITIC, ISOTHERMIC HUMIC HAPLOPEROX",TRUE
"LUCKETTS","established","FINE, MIXED, SEMIACTIVE, MESIC TYPIC PALEUDULTS","FINE, MIXED, SEMIACTIVE, MESIC TYPIC PALEUDULTSSOILS OF THE LUCKETTS SERIES ARE VERY DEEP, WELL DRAINED, AND HAVE SLOW PERMEABILITY.  THEY FORMED IN COLLUVIUM DERIVED FROM QUARTZITE AND GREENSTONE OVERLYING RESIDUUM DERIVED FROM CALCAREOUS CONGLOMERATE, IN THE TRIASSIC BASIN OF THE PIEDMONT PLATEAU.  SLOPES RANGE FROM 2 TO 15 PERCENT.  MEAN ANNUAL AIR TEMPERATURE IS ABOUT 51 DEGREES F., AND MEAN ANNUAL PRECIPITATION IS ABOUT 40 INCHES.",TRUE
"LUFKIN","established","FINE, SMECTITIC, THERMIC OXYAQUIC VERTIC PALEUSTALFS","FINE, SMECTITIC, THERMIC OXYAQUIC VERTICPALEUSTALFS",TRUE
"MAGENS","inactive","FINE, OXIDIC, ISOHYPERTHERMIC TYPIC HAPLUSTULTS","",TRUE
"MAJURO","established","SANDY-SKELETAL, CARBONATIC, ISOHYPERTHERMIC TYPIC UDORTHENTS","SANDY-SKELETAL, CARBONATIC, ISOHYPERTHERMIC TYPIC UDORTHENTSTHE SURFACE IS COVERED BY ABOUT 15 PERCENT GRAVEL, AND 60 PERCENT COBBLES. THE FRAGMENTS ARE CORALLINE LIMESTONE. ABOUT 5 PERCENT IS BARE GROUND.",TRUE
"MANOKIN","tentative","FINE-LOAMY, MIXED, ACTIVE, MESIC AQUIC HAPLUDULTS","FINE-LOAMY, MIXED, ACTIVE, MESIC AQUIC HAPLUDULTSDEPTH CLASS: VERY DEEPDRAINAGE CLASS (AGRICULTURAL): MODERATELY WELL DRAINEDINTERNAL FREE WATER OCCURRENCE: MODERATELY DEEP (20 TO 40 INCHES) AND COMMON (3 TO 6 MONTHS)INDEX SURFACE RUNOFF: VERY LOWPERMEABILITY: MODERATE IN THE SOLUM AND RAPID IN THE UNDERLYING MATERIALLANDSCAPE: COASTAL PLAIN, UPLANDLANDFORM: INTERFLUVES, BROAD UPSTREAM DIVIDES, AND FLATSHILLSLOPE PROFILE POSITION:GEOMORPHIC COMPONENT: DIP, RISE AND TALFELEVATION: 5 TO 20 FEETPARENT MATERIAL: SILTY EOLIAN DEPOSITS OVER FLUVIOMARINE SEDIMENTSSLOPE: 0 TO 5 PERCENTMEAN ANNUAL AIR TEMPERATURE (TYPE LOCATION NEAR PRINCESS ANNE, MD): 57 DEGREES F.MEAN ANNUAL PRECIPITATION (TYPE LOCATION NEAR PRINCESS ANNE, MD): 46 INCHESTAXONOMIC CLASS: FINE-LOAMY, MIXED, ACTIVE, MESIC AQUIC HAPLUDULTS",TRUE
"MAYFIELD","established","FINE-LOAMY, CARBONATIC, MESIC XERIC TORRIFLUVENTS","FINE-LOAMY, CARBONATIC, MESIC XERICTORRIFLUVENTS",TRUE
"MCCORNICK","inactive","FINE-LOAMY, CARBONATIC, MESIC XEROLLIC CALCIORTHIDS","FINE-LOAMY, CARBONATIC, MESIC XEROLLICCALCIORTHIDS",TRUE
"MIMMS","established","FINE, KAOLINITIC, ACID, THERMIC FLUVAQUENTIC ENDOAQUEPTS","FINE, KAOLINITIC, ACID, THERMIC FLUVAQUENTIC ENDOAQUEPTSDEPTH CLASS: VERY DEEPDRAINAGE CLASS (AGRICULTURAL): POORLY DRAINEDINTERNAL FREE WATER OCCURRENCE: VERY SHALLOW, PERSISTENTFLOODING FREQUENCY AND DURATION: FREQUENT OR OCCASIONAL FOR BRIEF TO VERY LONG PERIODSPONDING FREQUENCY AND DURATION: NONESLOWEST SATURATED HYDRAULIC CONDUCTIVITY: MODERATELY LOWLANDSCAPE: LOWER TO UPPER COASTAL PLAIN RIVER VALLEYLANDFORM: FLOOD PLAINGEOMORPHIC COMPONENT: FLOOD-PLAIN STEPPARENT MATERIAL: ALLUVIUMSLOPE: 0 TO 2 PERCENTELEVATION (TYPE LOCATION): 110 FEET (33 M)MEAN ANNUAL AIR TEMPERATURE (TYPE LOCATION): 63 DEGREES F  (17.1 C)MEAN ANNUAL PRECIPITATION (TYPE LOCATION): 48 INCHES (1220 MM) & TAXONOMIC CLASS: FINE, KAOLINITIC, ACID, THERMIC FLUVAQUENTIC ENDOAQUEPTS",TRUE
"MISPILLION","established","LOAMY, MIXED, EUIC, MESIC TERRIC SULFIHEMISTS","LOAMY, MIXED, EUIC, MESIC TERRIC SULFIHEMISTSDEPTH CLASS: VERY DEEPAGRICULTURAL DRAINAGE CLASS: VERY POORLY DRAINEDINDEX SURFACE RUNOFF: NEGLIGIBLE OR LOWINTERNAL FREE WATER OCCURANCE: VERY SHALLOW, PERMANENTPERMEABILITY: MODERATELY RAPID TO RAPID IN THE ORGANIC LAYERS AND SLOW IN THE MINERAL LAYERSPARENT MATERIAL: ORGANIC DEPOSITS FROM DOMINANTLY HERBACEOUS PLANTS, UNDERLAIN BY LOAMY FLUVIAL OR MARINE MINERAL SEDIMENTSSLOPES: 0 TO 1 PERCENTMEAN ANNUAL AIR TEMPERATURE (TYPE LOCATION): 55 DEGREES F.MEAN ANNUAL PRECIPITATION (TYPE LOCATION): 44 INCHESTAXONOMIC CLASS: LOAMY, MIXED, EUIC, MESIC TERRIC SULFIHEMISTS",TRUE
"MOYERS","established","FINE, MIXED, ACTIVE, THERMIC AQUOLLIC HAPLUDALFS","FINE, MIXED, ACTIVE, THERMIC AQUOLLIC HAPLUDALFS(COLORS ARE FOR MOIST SOIL UNLESS OTHERWISESTATED.)A1--0 TO 9 INCHES; VERY DARK GRAYISH BROWN (10YR 3/2) LOAM;WEAK FINE AND MEDIUM GRANULAR STRUCTURE; HARD, FRIABLE; MANY ROOTSOF ALL SIZES; SLIGHTLY ACID; CLEAR SMOOTH BOUNDARY.  (7 TO 9INCHES THICK)B1--9 TO 15 INCHES; BROWN (10YR 5/3) LOAM; COMMON FINEDISTINCT STRONG BROWN MOTTLES; WEAK FINE AND MEDIUM GRANULAR STRUCTURE; HARD, FRIABLE; MANY ROOTS OF ALL SIZES; SLIGHTLY ACID; CLEAR SMOOTH BOUNDARY.  (3 TO 8 INCHES THICK)B21T--15 TO 24 INCHES; YELLOWISH BROWN (10YR 5/4) CLAY LOAM; COMMON FINE DISTINCT STRONG BROWN AND LIGHT GRAY MOTTLES; WEAKFINE AND MEDIUM SUBANGULAR BLOCKY STRUCTURE; VERY HARD; FIRM; FEW FINE ROOTS; FEW BLACK CONCRETIONS; CLAY FILMS ON FACES OF PEDS; MEDIUM ACID; GRADUAL SMOOTH BOUNDARY.  (9 TO 20 INCHES THICK)B22T--24 TO 44 INCHES; LIGHT YELLOWISH BROWN (10YR 6/4) CLAY; MANY FINE AND MEDIUM DISTINCT STRONG BROWN (7.5YR 5/8), YELLOWISHRED (5YR 5/8), RED (2.5YR 4/8), AND LIGHT GRAY (10YR 7/2) MOTTLES; WEAK, COARSE, BLOCKY STRUCTURE THAT PARTS TO WEAK FINE AND MEDIUM SUBANGULAR BLOCKY STRUCTURE; VERY HARD, FIRM; FEW FINE ROOTS;COMMON BLACK CONCRETIONS; CLAY FILMS ON FACES OF PEDS; STRONGLYACID; CLEAR SMOOTH BOUNDARY.  (16 TO 29 INCHES THICK)CR--44 TO 50 INCHES; OLIVE (5Y 5/4) SLIGHTLY WEATHERED SHALE; TILTED 30 DEGREES FROM A HORIZONTAL PLANE.",TRUE
"MUCARA","established","COARSE-LOAMY, VERMICULITIC, ISOHYPERTHERMIC DYSTRIC EUTRUDEPTS","FINE-LOAMY, MIXED, SUPERACTIVE, ISOHYPERTHERMIC DYSTRIC EUTRUDEPTS",TRUE
"NARCOOSSEE","established","SANDY, SILICEOUS, HYPERTHERMIC OXYAQUIC ALORTHODS","SANDY, SILICEOUS, HYPERTHERMIC OXYAQUICALORTHODS",TRUE
"NELDORE","established","CLAYEY, SMECTITIC, NONACID, FRIGID, SHALLOW ARIDIC USTORTHENTS","CLAYEY, SMECTITIC, NONACID, FRIGID, SHALLOWARIDIC USTORTHENTS",TRUE
"NETRAC","established","SANDY-SKELETAL, MIXED, MESIC VITRANDIC XERORTHENTS","SANDY-SKELETAL, MIXED, MESIC VITRANDICXERORTHENTS",TRUE
"NIBSON","established","LOAMY, CARBONATIC, MESIC, SHALLOW ENTIC HAPLUSTOLLS","LOAMY, CARBONATIC, MESIC, SHALLOW ENTICHAPLUSTOLLS",TRUE
"NORBERT","established","CLAYEY, SMECTITIC, CALCAREOUS, FRIGID, SHALLOW TYPIC USTORTHENTS","CLAYEY, SMECTITIC, CALCAREOUS, FRIGID, SHALLOWTYPIC USTORTHENTS",TRUE
"NUFF","established","FINE-SILTY, CARBONATIC, THERMIC UDIC CALCIUSTOLLS","FINE-SILTY, CARBONATIC, THERMIC UDICCALCIUSTOLLS",TRUE
"OLAND","established","LOAMY-SKELETAL, MIXED, SUPERACTIVE, MESIC PACHIC ULTIC HAPLOXEROLLS","LOAMY-SKELETAL, MIXED, SUPERACTIVE, MESIC PACHIC ULTIC HAPLOXEROLLSHAPLOXEROLLS.",TRUE
"OLANTA","established","COARSE-LOAMY, SILICEOUS, SEMIACTIVE, THERMIC HUMIC HAPLUDULTS","COARSE-LOAMY, SILICEOUS, SEMIACTIVE, THERMIC HUMIC HAPLUDULTS(COLORS ARE FOR MOIST SOIL.)AP--0 TO 7 INCHES; VERY DARK GRAYISH BROWN (10YR 3/2) LOAMYSAND; WEAK FINE GRANULAR STRUCTURE; VERY FRIABLE; COMMON FINEROOTS; SLIGHTLY ACID; ABRUPT SMOOTH BOUNDARY.  (6 TO 10 INCHESTHICK)E--7 TO 11 INCHES; LIGHT YELLOWISH BROWN (10YR 6/4) LOAMYSAND; WEAK FINE GRANULAR STRUCTURE; VERY FRIABLE; FEW FINE ROOTS; MANY FINE PORES; MEDIUM ACID; CLEAR SMOOTH BOUNDARY.  (2 TO 10INCHES THICK)BT1--11 TO 25 INCHES; YELLOWISH BROWN (10YR 5/6) SANDY LOAM; WEAK MEDIUM SUBANGULAR BLOCKY STRUCTURE; FRIABLE; MANY FINE AND MEDIUM PORES; SAND GRAINS COATED AND BRIDGED WITH CLAY; STRONGLY ACID; GRADUAL WAVY BOUNDARY.  (6 TO 15 INCHES THICK)BT2--25 TO 34 INCHES; YELLOWISH BROWN (10YR 5/6) SANDY LOAM; WEAK MEDIUM SUBANGULAR BLOCKY STRUCTURE; VERY FRIABLE; MANY FINEAND MEDIUM PORES; SAND GRAINS COATED AND BRIDGED WITH CLAY; FEW NODULES OF PLINTHITE; STRONGLY ACID; GRADUAL WAVY BOUNDARY.  (6 TO15 INCHES THICK)BC--34 TO 42 INCHES; YELLOWISH BROWN (10YR 5/4) LOAMY SAND;FEW MEDIUM FAINT PALE BROWN (10YR 6/3) AND FEW MEDIUM DISTINCTSTRONG BROWN (7.5YR 5/6) MOTTLES; WEAK COARSE SUBANGULAR BLOCKY STRUCTURE; VERY FRIABLE; VERY STRONGLY ACID; GRADUAL WAVYBOUNDARY.  (0 TO 10 INCHES THICK)C1--42 TO 65 INCHES; MOTTLED YELLOW (10YR 7/6), LIGHT GRAY(10YR 7/2), AND WHITE (10YR 8/1) SAND; FEW FINE DISTINCT STRONGBROWN (7.5YR 5/6) MOTTLES; SINGLE GRAINED; LOOSE; VERY STRONGLYACID; GRADUAL WAVY BOUNDARY.  (10 TO 30 INCHES THICK)C2--65 TO 75 INCHES; LIGHT GRAY (10YR 7/1) SAND; COMMONMEDIUM FAINT PALE BROWN (10YR 6/3) MOTTLES; SINGLE GRAINED; LOOSE; VERY STRONGLY ACID.",TRUE
